songID,sourcePath,action,fsIn,nChannelsIn,rmsDbfsIn,gainDb,peakAfter,clipGuard,durationSec,elapsedSec,message
1,"american/4 Non Blondes - What_s Up (Official Music Video) [6NXnxTNIWkc].wav",processed,48000,2,-15.9316967771147,-4.06830322288534,0.629635921382025,0,292.59475,0.5632576,48000 Hz/2ch -> 8 kHz mono
2,"american/Ariana Grande - Into You (Official Video) [1ekZEVeXwek].wav",processed,48000,2,-11.5436674312229,-8.45633256877711,0.405833550537322,0,254.8275,0.3283632,48000 Hz/2ch -> 8 kHz mono
3,"american/Ariana Grande - One Last Time (Official Lyric Video) [Wg92RrNhB8s].wav",processed,48000,2,-10.2271674221751,-9.77283257782493,0.342675865804089,0,198.890625,0.2433368,48000 Hz/2ch -> 8 kHz mono
4,"american/Ava Max - Kings & Queens [Official Music Video] [jH1RNk8954Q].wav",processed,48000,2,-10.0222745252858,-9.97772547471422,0.343554543164755,0,162.388875,0.1806133,48000 Hz/2ch -> 8 kHz mono
5,"american/Ava Max - Sweet but Psycho [Official Music Video] [WXBHCQYxwr0].wav",processed,48000,2,-10.5769155575011,-9.42308444249891,0.362252248227935,0,207.1685,0.2780186,48000 Hz/2ch -> 8 kHz mono
6,"american/Backstreet Boys - I Want It That Way (Official HD Video) [4fndeDfaWCg].wav",processed,48000,2,-16.5821705938714,-3.41782940612858,0.624357240494422,0,219.266125,0.251488,48000 Hz/2ch -> 8 kHz mono
7,"american/Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video] [zDo0H8Fm7d0].wav",processed,48000,2,-12.9152989803225,-7.08470101967752,0.422932096762973,0,177.934625,0.1748219,48000 Hz/2ch -> 8 kHz mono
8,"american/Bill Withers - Ain_t No Sunshine (Official Audio) [YuKfiH0Scao].wav",processed,48000,2,-19.484489648983,-0.515510351016984,0.848142471279416,0,126.4,0.1268143,48000 Hz/2ch -> 8 kHz mono
9,"american/Billie Eilish, Khalid - lovely [V1Pl8CzNzCw].wav",processed,48000,2,-16.6497966945999,-3.35020330540011,0.363300543315631,0,200.469375,0.2089068,48000 Hz/2ch -> 8 kHz mono
10,"american/Blackstreet - No Diggity (Official Music Video) ft. Dr. Dre, Queen Pen [3KL9mRus19o].wav",processed,48000,2,-15.0528864860613,-4.94711351393867,0.612310989697019,0,270.47775,0.2792667,48000 Hz/2ch -> 8 kHz mono
11,"american/Bruno Mars - When I Was Your Man (Official Music Video) [ekzHIouo8Q4].wav",processed,48000,2,-15.7238330925851,-4.2761669074149,0.560964765316782,0,234.068875,0.267236,48000 Hz/2ch -> 8 kHz mono
12,"american/Charlie Puth - We Don_t Talk Anymore (feat. Selena Gomez) [Official Video] [3AtDnEC4zak].wav",processed,48000,2,-12.1079642369168,-7.89203576308316,0.42847695319951,0,230.4465,0.2493669,48000 Hz/2ch -> 8 kHz mono
13,"american/Destiny_s Child - Say My Name (Official Video) [sQgd6MccwZc].wav",processed,48000,2,-19.6643299813728,-0.33567001862718,0.699750191415089,0,239.44425,0.3023977,48000 Hz/2ch -> 8 kHz mono
14,"american/Djo - End Of Beginning (Official Audio) [xy3AcmW0lrQ].wav",processed,48000,2,-12.5799804397232,-7.42001956027678,0.451247647510872,0,159.3005,0.2441415,48000 Hz/2ch -> 8 kHz mono
15,"american/Doja Cat - Kiss Me More (Official Video) ft. SZA [0EVVKs6DQLo].wav",processed,48000,2,-13.4257794858408,-6.57422051415917,0.47707458293774,0,315.524375,0.4551275,48000 Hz/2ch -> 8 kHz mono
16,"american/Goo Goo Dolls - Iris [Official Music Video] [4K Remaster] [NdYWuo9OFAw].wav",processed,48000,2,-16.7560181480747,-3.24398185192526,0.598810193032031,0,215.550875,0.2732435,48000 Hz/2ch -> 8 kHz mono
17,"american/H.E.R. - Best Part (Lyrics) Ft. Daniel Caesar [75-Com9Bo_s].wav",processed,48000,2,-14.5344669711439,-5.46553302885612,0.539756646508287,0,209.455625,0.2697453,48000 Hz/2ch -> 8 kHz mono
18,"american/Hailee Steinfeld - Love Myself (Official Video) [bMpFmHSgC4Q].wav",processed,48000,2,-12.5823561415638,-7.41764385843621,0.430904383690316,0,240.106,0.323406,48000 Hz/2ch -> 8 kHz mono
19,"american/Imagine Dragons - Next To Me (Audio) [-C_rvt0SwLE].wav",processed,48000,2,-9.37995802727729,-10.6200419727227,0.333656886244561,0,229.7035,0.2730787,48000 Hz/2ch -> 8 kHz mono
20,"american/Imagine Dragons - Thunder [fKopy74weus].wav",processed,48000,2,-9.67096328824713,-10.3290367117529,0.33045672507518,0,203.97575,0.2983645,48000 Hz/2ch -> 8 kHz mono
21,"american/Jason Mraz - I_m Yours (Official Video) [7gO-jFLIgdk].wav",processed,48000,2,-18.4082515452736,-1.59174845472642,0.502852170002249,0,220.97275,0.3293323,48000 Hz/2ch -> 8 kHz mono
22,"american/Jeremy Zucker - comethru (Official Video) [jO2viLEW-1A].wav",processed,48000,2,-15.7000454077398,-4.29995459226018,0.615698147131336,0,180.65075,0.2514567,48000 Hz/2ch -> 8 kHz mono
