tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0.0067891522356734,1.25,0.846953235710912,0.996111111111111,0.356666666666667,0.91549655348481,1793,2117,321
0.0067891522356734,1.5,0.941207349081365,0.996111111111111,0.124444444444444,0.967881241565452,1793,1905,112
0.0067891522356734,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.0067891522356734,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.0067891522356734,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.0067891522356734,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.0067891522356734,4,1,0.97,0,0.984771573604061,1746,1746,0
0.0067891522356734,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.0067891522356734,7,1,0.895,0,0.944591029023747,1611,1611,0
0.0067891522356734,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00702985170390875,1,0.738879736408567,0.996666666666667,0.697777777777778,0.848628192999054,1794,2428,628
0.00702985170390875,1.1,0.822477064220184,0.996111111111111,0.426666666666667,0.901005025125628,1793,2180,384
0.00702985170390875,1.25,0.848155156102176,0.996111111111111,0.353333333333333,0.916198262646909,1793,2114,318
0.00702985170390875,1.5,0.942691903259727,0.996111111111111,0.121111111111111,0.968665586169638,1793,1902,109
0.00702985170390875,1.75,0.980832420591457,0.995,0.0388888888888889,0.987865416436845,1791,1826,35
0.00702985170390875,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00702985170390875,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00702985170390875,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00702985170390875,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00702985170390875,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00702985170390875,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00702985170390875,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00750699015658401,1,0.745945945945946,0.996666666666667,0.672222222222222,0.853269916765755,1794,2405,605
0.00750699015658401,1.1,0.82741116751269,0.996111111111111,0.412222222222222,0.903957650617595,1793,2167,371
0.00750699015658401,1.25,0.850972947318462,0.996111111111111,0.345555555555556,0.917839774763245,1793,2107,311
0.00750699015658401,1.5,0.944678609062171,0.996111111111111,0.116666666666667,0.969713358572201,1793,1898,105
0.00750699015658401,1.75,0.980832420591457,0.995,0.0388888888888889,0.987865416436845,1791,1826,35
0.00750699015658401,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00750699015658401,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00750699015658401,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00750699015658401,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00750699015658401,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00750699015658401,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00750699015658401,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00803212851405622,1,0.75251677852349,0.996666666666667,0.648888888888889,0.85755258126195,1794,2384,584
0.00803212851405622,1.1,0.830861909175162,0.996111111111111,0.402222222222222,0.906013137948459,1793,2158,362
0.00803212851405622,1.25,0.854623450905624,0.996111111111111,0.335555555555556,0.919958953309389,1793,2098,302
0.00803212851405622,1.5,0.946673706441394,0.996111111111111,0.112222222222222,0.970763400108284,1793,1894,101
0.00803212851405622,1.75,0.981907894736842,0.995,0.0366666666666667,0.98841059602649,1791,1824,33
0.00803212851405622,2,0.989479512735327,0.992777777777778,0.0211111111111111,0.991125901275652,1787,1806,19
0.00803212851405622,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00803212851405622,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00803212851405622,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00803212851405622,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00803212851405622,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00803212851405622,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00825593395252838,1,0.759847522236341,0.996666666666667,0.624444444444444,0.862292718096611,1794,2361,562
0.00825593395252838,1.1,0.835118770377271,0.996111111111111,0.39,0.908538130225488,1793,2147,351
0.00825593395252838,1.25,0.859127934834691,0.996111111111111,0.323333333333333,0.922562387445331,1793,2087,291
0.00825593395252838,1.5,0.947674418604651,0.996111111111111,0.11,0.971289274106175,1793,1892,99
